C,Mn,Si,P,S,Cr,Mo,Ni,N,Ti,Nb and Ta,Al,Fe balance (%),Lactic acid concentration,Temperature,Label
0.15,2,1,0.045,0.03,16,0,6,0,0,0,0,74.78,1.5,20,Resistant
0.15,2,1,0.045,0.03,16,0,6,0,0,0,0,74.78,1.5,122,Resistant
0.15,2,1,0.045,0.03,16,0,6,0,0,0,0,74.78,10,20,Resistant
0.15,2,1,0.045,0.03,16,0,6,0,0,0,0,74.78,10,122,Good
0.15,2,1,0.045,0.03,16,0,6,0,0,0,0,74.78,80,20,Resistant
0.15,2,1,0.045,0.03,16,0,6,0,0,0,0,74.78,80,122,Questionable
0.15,2,1,0.045,0.03,16,0,6,0,0,0,0,74.78,100,20,Resistant
0.15,2,1,0.045,0.03,16,0,6,0,0,0,0,74.78,100,122,Questionable
0.15,2,0.75,0.045,0.03,17,0,8,0.1,0,0,0,71.93,1.5,20,Resistant
0.15,2,0.75,0.045,0.03,17,0,8,0.1,0,0,0,71.93,1.5,122,Resistant
0.15,2,0.75,0.045,0.03,17,0,8,0.1,0,0,0,71.93,10,20,Resistant
0.15,2,0.75,0.045,0.03,17,0,8,0.1,0,0,0,71.93,10,122,Good
0.15,2,0.75,0.045,0.03,17,0,8,0.1,0,0,0,71.93,80,20,Resistant
0.15,2,0.75,0.045,0.03,17,0,8,0.1,0,0,0,71.93,80,122,Questionable
0.15,2,0.75,0.045,0.03,17,0,8,0.1,0,0,0,71.93,100,20,Resistant
0.15,2,0.75,0.045,0.03,17,0,8,0.1,0,0,0,71.93,100,122,Questionable
0.15,2,1,0.2,0.35,17,0,8,0,0,0,0,71.30,1.5,20,Resistant
0.15,2,1,0.2,0.35,17,0,8,0,0,0,0,71.30,1.5,122,Good
0.15,2,1,0.2,0.35,17,0,8,0,0,0,0,71.30,10,20,Good
0.15,2,1,0.2,0.35,17,0,8,0,0,0,0,71.30,10,122,Poor
0.15,2,1,0.2,0.35,17,0,8,0,0,0,0,71.30,80,20,Good
0.15,2,1,0.2,0.35,17,0,8,0,0,0,0,71.30,80,122,Questionable
0.15,2,1,0.2,0.35,17,0,8,0,0,0,0,71.30,100,20,Good
0.15,2,1,0.2,0.35,17,0,8,0,0,0,0,71.30,100,122,Questionable
0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.00,10,21,Good
0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.00,1.5,20,Resistant
0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.00,1.5,122,Resistant
0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.00,10,20,Resistant
0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.00,10,122,Good
0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.00,80,20,Resistant
0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.00,80,122,Questionable
0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.00,100,20,Resistant
0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.00,100,122,Questionable
0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.05,1.5,20,Resistant
0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.05,1.5,122,Resistant
0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.05,10,20,Resistant
0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.05,10,122,Good
0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.05,80,20,Resistant
0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.05,80,122,Questionable
0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.05,100,20,Resistant
0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.05,100,122,Questionable
0.03,2,0.75,0.045,0.03,18,0,8,0.16,0,0,0,70.99,1.5,20,Resistant
0.03,2,0.75,0.045,0.03,18,0,8,0.16,0,0,0,70.99,1.5,122,Resistant
0.03,2,0.75,0.045,0.03,18,0,8,0.16,0,0,0,70.99,10,20,Resistant
0.03,2,0.75,0.045,0.03,18,0,8,0.16,0,0,0,70.99,10,122,Good
0.03,2,0.75,0.045,0.03,18,0,8,0.16,0,0,0,70.99,80,20,Resistant
0.03,2,0.75,0.045,0.03,18,0,8,0.16,0,0,0,70.99,80,122,Questionable
0.03,2,0.75,0.045,0.03,18,0,8,0.16,0,0,0,70.99,100,20,Resistant
0.03,2,0.75,0.045,0.03,18,0,8,0.16,0,0,0,70.99,100,122,Questionable
0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.00,10,21,Good
0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.00,1.5,21,Resistant
0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.00,1.5,122,Resistant
0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.00,10,20,Resistant
0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.00,10,122,Resistant
0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.00,80,20,Resistant
0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.00,80,122,Good
0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.00,100,20,Resistant
0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.00,100,122,Good
0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.05,1.5,20,Resistant
0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.05,1.5,122,Resistant
0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.05,10,20,Resistant
0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.05,10,122,Good
0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.05,80,20,Resistant
0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.05,80,122,Questionable
0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.05,100,20,Resistant
0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.05,100,122,Questionable
0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.05,1.5,20,Resistant
0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.05,1.5,122,Resistant
0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.05,10,20,Resistant
0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.05,10,122,Resistant
0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.05,80,20,Resistant
0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.05,80,122,Good
0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.05,100,20,Resistant
0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.05,100,122,Good
0.03,2,1,0.045,0.03,16,2,10,0.3,0,0,0,68.60,1.5,20,Resistant
0.03,2,1,0.045,0.03,16,2,10,0.3,0,0,0,68.60,1.5,122,Resistant
0.03,2,1,0.045,0.03,16,2,10,0.3,0,0,0,68.60,10,20,Resistant
0.03,2,1,0.045,0.03,16,2,10,0.3,0,0,0,68.60,10,122,Resistant
0.03,2,1,0.045,0.03,16,2,10,0.3,0,0,0,68.60,80,20,Resistant
0.03,2,1,0.045,0.03,16,2,10,0.3,0,0,0,68.60,80,122,Good
0.03,2,1,0.045,0.03,16,2,10,0.3,0,0,0,68.60,100,20,Resistant
0.03,2,1,0.045,0.03,16,2,10,0.3,0,0,0,68.60,100,122,Good
0.08,2,1,0.045,0.03,16,2,10,0.1,0.7,0,0,68.05,1.5,20,Resistant
0.08,2,1,0.045,0.03,16,2,10,0.1,0.7,0,0,68.05,1.5,122,Resistant
0.08,2,1,0.045,0.03,16,2,10,0.1,0.7,0,0,68.05,10,20,Resistant
0.08,2,1,0.045,0.03,16,2,10,0.1,0.7,0,0,68.05,10,122,Resistant
0.08,2,1,0.045,0.03,16,2,10,0.1,0.7,0,0,68.05,80,20,Resistant
0.08,2,1,0.045,0.03,16,2,10,0.1,0.7,0,0,68.05,80,122,Good
0.08,2,1,0.045,0.03,16,2,10,0.1,0.7,0,0,68.05,100,20,Resistant
0.08,2,1,0.045,0.03,16,2,10,0.1,0.7,0,0,68.05,100,122,Good
0.03,2,1,0.045,0.03,18,3,11,0.1,0,0,0,64.80,1.5,20,Resistant
0.03,2,1,0.045,0.03,18,3,11,0.1,0,0,0,64.80,1.5,122,Resistant
0.03,2,1,0.045,0.03,18,3,11,0.1,0,0,0,64.80,10,20,Resistant
0.03,2,1,0.045,0.03,18,3,11,0.1,0,0,0,64.80,10,122,Resistant
0.03,2,1,0.045,0.03,18,3,11,0.1,0,0,0,64.80,80,20,Resistant
0.03,2,1,0.045,0.03,18,3,11,0.1,0,0,0,64.80,80,122,Good
0.03,2,1,0.045,0.03,18,3,11,0.1,0,0,0,64.80,100,20,Resistant
0.03,2,1,0.045,0.03,18,3,11,0.1,0,0,0,64.80,100,122,Good
0.03,2,1,0.045,0.03,18,3,11,0.22,0,0,0,64.68,1.5,20,Resistant
0.03,2,1,0.045,0.03,18,3,11,0.22,0,0,0,64.68,1.5,122,Resistant
0.03,2,1,0.045,0.03,18,3,11,0.22,0,0,0,64.68,10,20,Resistant
0.03,2,1,0.045,0.03,18,3,11,0.22,0,0,0,64.68,10,122,Resistant
0.03,2,1,0.045,0.03,18,3,11,0.22,0,0,0,64.68,80,20,Resistant
0.03,2,1,0.045,0.03,18,3,11,0.22,0,0,0,64.68,80,122,Good
0.03,2,1,0.045,0.03,18,3,11,0.22,0,0,0,64.68,100,20,Resistant
0.03,2,1,0.045,0.03,18,3,11,0.22,0,0,0,64.68,100,122,Good
0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.7,0,0,70.30,1.5,20,Resistant
0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.7,0,0,70.30,1.5,122,Resistant
0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.7,0,0,70.30,10,20,Resistant
0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.7,0,0,70.30,10,122,Good
0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.7,0,0,70.30,80,20,Resistant
0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.7,0,0,70.30,80,122,Questionable
0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.7,0,0,70.30,100,20,Resistant
0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.7,0,0,70.30,100,122,Questionable
0.05,2,1,0.045,0.015,25,1.3,4.5,0.05,0,0,0,66.04,1.5,20,Resistant
0.05,2,1,0.045,0.015,25,1.3,4.5,0.05,0,0,0,66.04,1.5,122,Resistant
0.05,2,1,0.045,0.015,25,1.3,4.5,0.05,0,0,0,66.04,10,20,Resistant
0.05,2,1,0.045,0.015,25,1.3,4.5,0.05,0,0,0,66.04,10,122,Resistant
0.05,2,1,0.045,0.015,25,1.3,4.5,0.05,0,0,0,66.04,80,20,Resistant
0.05,2,1,0.045,0.015,25,1.3,4.5,0.05,0,0,0,66.04,80,122,Good
0.05,2,1,0.045,0.015,25,1.3,4.5,0.05,0,0,0,66.04,100,20,Resistant
0.05,2,1,0.045,0.015,25,1.3,4.5,0.05,0,0,0,66.04,100,122,Good
0.08,2,1,0.045,0.03,17,0,9,0,0,1,0,69.85,1.5,20,Resistant
0.08,2,1,0.045,0.03,17,0,9,0,0,1,0,69.85,1.5,122,Resistant
0.08,2,1,0.045,0.03,17,0,9,0,0,1,0,69.85,10,20,Resistant
0.08,2,1,0.045,0.03,17,0,9,0,0,1,0,69.85,10,122,Good
0.08,2,1,0.045,0.03,17,0,9,0,0,1,0,69.85,80,20,Resistant
0.08,2,1,0.045,0.03,17,0,9,0,0,1,0,69.85,80,122,Questionable
0.08,2,1,0.045,0.03,17,0,9,0,0,1,0,69.85,100,20,Resistant
0.08,2,1,0.045,0.03,17,0,9,0,0,1,0,69.85,100,122,Questionable
0.15,2,1,0.045,0.03,11.5,0,0,0,0,0,0,85.28,1.5,20,Good
0.15,2,1,0.045,0.03,11.5,0,0,0,0,0,0,85.28,10,20,Good
0.15,2,1,0.045,0.03,11.5,0,0,0,0,0,0,85.28,10,122,Poor
0.15,2,1,0.045,0.03,11.5,0,0,0,0,0,0,85.28,80,20,Good
0.15,2,1,0.045,0.03,11.5,0,0,0,0,0,0,85.28,80,122,Poor
0.15,2,1,0.045,0.03,11.5,0,0,0,0,0,0,85.28,100,20,Good
0.15,2,1,0.045,0.03,11.5,0,0,0,0,0,0,85.28,100,122,Poor
0.08,1,1,0.045,0.03,11.5,0,0,0,0,0,0.1,86.25,1.5,20,Good
0.08,1,1,0.045,0.03,11.5,0,0,0,0,0,0.1,86.25,10,20,Good
0.08,1,1,0.045,0.03,11.5,0,0,0,0,0,0.1,86.25,10,122,Poor
0.08,1,1,0.045,0.03,11.5,0,0,0,0,0,0.1,86.25,80,20,Good
0.08,1,1,0.045,0.03,11.5,0,0,0,0,0,0.1,86.25,80,122,Poor
0.08,1,1,0.045,0.03,11.5,0,0,0,0,0,0.1,86.25,100,20,Good
0.08,1,1,0.045,0.03,11.5,0,0,0,0,0,0.1,86.25,100,122,Poor
0.08,1,1,0.045,0.045,10.5,0,0.5,0,0.7,0,0,86.13,1.5,20,Good
0.08,1,1,0.045,0.045,10.5,0,0.5,0,0.7,0,0,86.13,10,20,Good
0.08,1,1,0.045,0.045,10.5,0,0.5,0,0.7,0,0,86.13,10,122,Poor
0.08,1,1,0.045,0.045,10.5,0,0.5,0,0.7,0,0,86.13,80,20,Good
0.08,1,1,0.045,0.045,10.5,0,0.5,0,0.7,0,0,86.13,80,122,Poor
0.08,1,1,0.045,0.045,10.5,0,0.5,0,0.7,0,0,86.13,100,20,Good
0.08,1,1,0.045,0.045,10.5,0,0.5,0,0.7,0,0,86.13,100,122,Poor
0.15,1,1,0.045,0.03,11.5,0,0.75,0,0,0,0,85.53,10,21,Poor
0.15,1,1,0.045,0.03,11.5,0,0.75,0,0,0,0,85.53,1.5,20,Good
0.15,1,1,0.045,0.03,11.5,0,0.75,0,0,0,0,85.53,10,122,Poor
0.15,1,1,0.045,0.03,11.5,0,0.75,0,0,0,0,85.53,10,20,Good
0.15,1,1,0.045,0.03,11.5,0,0.75,0,0,0,0,85.53,80,20,Good
0.15,1,1,0.045,0.03,11.5,0,0.75,0,0,0,0,85.53,80,122,Poor
0.15,1,1,0.045,0.03,11.5,0,0.75,0,0,0,0,85.53,100,20,Good
0.15,1,1,0.045,0.03,11.5,0,0.75,0,0,0,0,85.53,100,122,Poor
0.15,1.25,1,0.06,0.15,12,0,0,0,0,0,0,85.39,1.5,20,Good
0.15,1.25,1,0.06,0.15,12,0,0,0,0,0,0,85.39,10,20,Good
0.15,1.25,1,0.06,0.15,12,0,0,0,0,0,0,85.39,10,122,Poor
0.15,1.25,1,0.06,0.15,12,0,0,0,0,0,0,85.39,80,20,Good
0.15,1.25,1,0.06,0.15,12,0,0,0,0,0,0,85.39,80,122,Poor
0.15,1.25,1,0.06,0.15,12,0,0,0,0,0,0,85.39,100,20,Good
0.15,1.25,1,0.06,0.15,12,0,0,0,0,0,0,85.39,100,122,Poor
0.15,1,1,0.045,0.03,12,0,0,0,0,0,0,85.78,1.5,20,Good
0.15,1,1,0.045,0.03,12,0,0,0,0,0,0,85.78,10,20,Good
0.15,1,1,0.045,0.03,12,0,0,0,0,0,0,85.78,10,122,Poor
0.15,1,1,0.045,0.03,12,0,0,0,0,0,0,85.78,80,20,Good
0.15,1,1,0.045,0.03,12,0,0,0,0,0,0,85.78,80,122,Poor
0.15,1,1,0.045,0.03,12,0,0,0,0,0,0,85.78,100,20,Good
0.15,1,1,0.045,0.03,12,0,0,0,0,0,0,85.78,100,122,Poor
0.12,1,1,0.045,0.03,16,0,0,0,0,0,0,81.81,10,21,Poor
0.12,1,1,0.045,0.03,16,0,0,0,0,0,0,81.81,1.5,20,Resistant
0.12,1,1,0.045,0.03,16,0,0,0,0,0,0,81.81,1.5,122,Good
0.12,1,1,0.045,0.03,16,0,0,0,0,0,0,81.81,10,20,Good
0.12,1,1,0.045,0.03,16,0,0,0,0,0,0,81.81,10,122,Poor
0.12,1,1,0.045,0.03,16,0,0,0,0,0,0,81.81,80,20,Good
0.12,1,1,0.045,0.03,16,0,0,0,0,0,0,81.81,80,122,Questionable
0.12,1,1,0.045,0.03,16,0,0,0,0,0,0,81.81,100,20,Good
0.12,1,1,0.045,0.03,16,0,0,0,0,0,0,81.81,100,122,Questionable
0.08,1,1,0.045,0.03,16,0.75,0,0,0,0,0,81.10,1.5,20,Resistant
0.08,1,1,0.045,0.03,16,0.75,0,0,0,0,0,81.10,1.5,122,Resistant
0.08,1,1,0.045,0.03,16,0.75,0,0,0,0,0,81.10,10,20,Resistant
0.08,1,1,0.045,0.03,16,0.75,0,0,0,0,0,81.10,10,122,Questionable
0.08,1,1,0.045,0.03,16,0.75,0,0,0,0,0,81.10,80,20,Resistant
0.08,1,1,0.045,0.03,16,0.75,0,0,0,0,0,81.10,80,122,Questionable
0.08,1,1,0.045,0.03,16,0.75,0,0,0,0,0,81.10,100,20,Resistant
0.08,1,1,0.045,0.03,16,0.75,0,0,0,0,0,81.10,100,122,Questionable
0.03,2,1,0.045,0.03,21,2.5,4.5,0.08,0,0,0,68.82,1.5,20,Resistant
0.03,2,1,0.045,0.03,21,2.5,4.5,0.08,0,0,0,68.82,1.5,122,Resistant
0.03,2,1,0.045,0.03,21,2.5,4.5,0.08,0,0,0,68.82,10,20,Resistant
0.03,2,1,0.045,0.03,21,2.5,4.5,0.08,0,0,0,68.82,10,122,Resistant
0.03,2,1,0.045,0.03,21,2.5,4.5,0.08,0,0,0,68.82,80,20,Resistant
0.03,2,1,0.045,0.03,21,2.5,4.5,0.08,0,0,0,68.82,80,122,Good
0.03,2,1,0.045,0.03,21,2.5,4.5,0.08,0,0,0,68.82,100,20,Resistant
0.03,2,1,0.045,0.03,21,2.5,4.5,0.08,0,0,0,68.82,100,122,Good